gene,logFC,logCPM,F,PValue,FDR,direction,treat1,treat2
gene7936|CCNA2,-4.4969958070979175,4.129555208441915,300.41268695326704,4.0571716957645726e-17,2.491305594308919e-13,Downregulated,AG,HH
gene15242|PRC1,-3.782165247615173,5.962324675520524,289.9088508569598,6.579911001770927e-17,2.491305594308919e-13,Downregulated,AG,HH
gene2470|ACTG2,-4.109079774517719,9.386859837350865,288.27149363156525,7.105213472864118e-17,2.491305594308919e-13,Downregulated,AG,HH
gene1566|ANLN,-4.14377503179049,5.632018361460184,282.82567982493595,9.199729164242581e-17,2.491305594308919e-13,Downregulated,AG,HH
gene18184|CIT,-3.584472552217226,3.4536369296856106,281.29103582157285,9.902550529715852e-17,2.491305594308919e-13,Downregulated,AG,HH
gene16848|TOP2A,-3.8936300012605884,6.7294072646666105,280.1342045188413,1.0470145777422108e-16,2.491305594308919e-13,Downregulated,AG,HH
gene7227|KIF2C,-4.479691041211251,3.7797443448592745,278.6329030478294,1.1259047814682957e-16,2.491305594308919e-13,Downregulated,AG,HH
gene887|ECT2,-3.2198398741870338,4.6935820210394414,261.00268466556076,2.716268306609071e-16,5.259034975133488e-13,Downregulated,AG,HH
gene19215|CDCA8,-3.6372703656903536,3.3314010212700964,245.07238994603364,6.311624964261652e-16,1.0862306563494304e-12,Downregulated,AG,HH
gene23201|KNL1,-4.101938956221117,5.005877436264516,240.1711125646289,8.262236868316878e-16,1.1593852932898166e-12,Downregulated,AG,HH
gene6965|DEPDC1,-5.443289880367801,3.1631856558494857,239.69751809564553,8.482258946995919e-16,1.1593852932898166e-12,Downregulated,AG,HH
gene1993|RRM2,-2.7741858014321434,4.993650754032248,238.66830828208745,8.982260649156046e-16,1.1593852932898166e-12,Downregulated,AG,HH
gene12236|MELK,-3.8778130905128876,3.5523660270661925,236.8338187620872,9.953145003710756e-16,1.1858789458651994e-12,Downregulated,AG,HH
gene2307|BUB1,-4.040162516497633,4.368417068904668,227.65245531076684,1.6818320670254915e-15,1.8607069204398457e-12,Downregulated,AG,HH
gene2337|CKAP2L,-4.216762709027143,3.759202111605775,216.33334380681183,3.2972797181524904e-15,3.4047710369642612e-12,Downregulated,AG,HH
gene23180|NUSAP1,-4.427425234152507,4.6184536308875765,212.16237735989307,4.259035467638324e-15,4.123012522390625e-12,Downregulated,AG,HH
gene20738|ESCO2,-4.3804973307761,3.7086689055156916,210.08590565477232,4.845836689885507e-15,4.415127322919801e-12,Downregulated,AG,HH
gene20737|PBK,-4.066832521251088,4.340576893990756,205.83002719218433,6.335817870210006e-15,5.080702953436459e-12,Downregulated,AG,HH
gene23217|BUB1B,-3.3424845959159692,4.527338338227561,204.25475645989377,7.005453412381949e-15,5.080702953436459e-12,Downregulated,AG,HH
gene12793|TTK,-3.710275303627849,4.377569981305618,204.24641111516104,7.009195812288859e-15,5.080702953436459e-12,Downregulated,AG,HH
gene26588|TACC3,-3.0907778550930893,4.079312544080935,203.9160257185627,7.159081938080846e-15,5.080702953436459e-12,Downregulated,AG,HH
gene22433|MCM10,-3.6169462896366467,3.323651452235588,203.79153946851412,7.21644166670554e-15,5.080702953436459e-12,Downregulated,AG,HH
gene26490|KIF4A,-2.950123057411112,4.662713969000398,201.46392001977298,8.384352994078935e-15,5.6463149358821135e-12,Downregulated,AG,HH
gene23944|UHRF1,-3.6498772899077427,4.1195057268380175,195.08768939383197,1.2745700580528258e-14,8.225756512158424e-12,Downregulated,AG,HH
gene29727|CENPE,-3.488720597776006,3.994073482614989,192.16983366729636,1.550019725884379e-14,9.603302213689258e-12,Downregulated,AG,HH
gene5021|CENPT,-4.1593327252308265,2.7349460534849612,190.94699243134082,1.6837714437397187e-14,1.0030744573878656e-11,Downregulated,AG,HH
gene9588|RACGAP1,-2.8251666407302514,5.130541150892032,188.35745883703447,2.0094122485567176e-14,1.1527328265887036e-11,Downregulated,AG,HH
gene24271|CEP55,-4.010977551319593,2.823460325524174,187.2487917174618,2.168823842943289e-14,1.199333756617802e-11,Downregulated,AG,HH
gene14225|NEK2,-3.8706972607420536,3.072817651851763,186.74606665904903,2.2455083570221613e-14,1.199333756617802e-11,Downregulated,AG,HH
gene11378|MAP3K5,2.766491434908101,3.1633102805784516,184.4392119397544,2.636421109583489e-14,1.3611842188779553e-11,Upregulated,AG,HH
gene18063|KNTC1,-2.6933102034018215,5.590229690315591,183.57282392182069,2.8014783243799838e-14,1.3997450892361795e-11,Downregulated,AG,HH
gene23736|ASPM,-3.692164215258459,5.722973607872102,181.07598403451792,3.376209081770073e-14,1.6341907021105204e-11,Downregulated,AG,HH
gene15649|LOC113264263,-3.9478443999368977,5.557920592259605,179.01436204080935,4.045762692255144e-14,1.8989338891012098e-11,Downregulated,AG,HH
gene3924|CKAP2,-3.085780406221535,4.8703125545067305,177.41274040285606,4.34572143263477e-14,1.9797317432376458e-11,Downregulated,AG,HH
gene25560|TK1,-4.398319372261754,3.40519982736818,176.92063206987353,4.5033879659841064e-14,1.9929421772893664e-11,Downregulated,AG,HH
gene24273|RBP4,-2.161464705942439,6.002957715937659,170.03082277141976,7.485364298509696e-14,3.220577989433797e-11,Downregulated,AG,HH
