gene,logFC,logCPM,F,PValue,FDR,direction,treat1,treat2
gene18847|HSPB1,-1.8049660006733803,5.873044329442279,102.17159905429725,3.799018015241269e-11,5.884299003807201e-7,Downregulated,AH,AG
gene27056|LOC113246261,-1.8411521084257845,4.726466428032799,94.99373028675801,8.813932829802058e-11,6.825950280040203e-7,Downregulated,AH,AG
gene18173|VSIG10,1.3437084903014223,7.101817912150949,79.65978668504728,6.353840715700864e-10,2.5502965099576537e-6,Upregulated,AH,AG
gene13346|LOC113261475,-2.6104051421805172,2.3697283653342427,79.39953024096533,6.586084343618449e-10,2.5502965099576537e-6,Downregulated,AH,AG
gene21072|LTBP2,-3.2698530763851648,2.6785893699302523,75.91096298743683,1.0748188710801992e-9,3.329573898832241e-6,Downregulated,AH,AG
gene8354|AMDHD1,2.805220436459514,2.135388045156084,73.74448839990639,1.4691014365744948e-9,3.7281849466435883e-6,Upregulated,AH,AG
gene8273|CHST11,-1.9693099862509789,2.366911835605521,72.80864100458398,1.6848921574346386e-9,3.7281849466435883e-6,Downregulated,AH,AG
gene1993|RRM2,-1.4491655237009493,4.993650754032248,71.67730154844475,1.9918988818202946e-9,3.856565222564318e-6,Downregulated,AH,AG
gene20740|SCARA3,-2.0452946036541055,2.8936165186196656,64.51829012122924,6.016223452536515e-9,9.978188167814314e-6,Downregulated,AH,AG
gene10944|FAM89A,1.454560501283597,4.912780065778509,64.0925966249124,6.442112575256191e-9,9.978188167814314e-6,Upregulated,AH,AG
gene16977|NXPH3,-2.415772832227477,1.0139920677802237,62.99678486494196,7.693590827804053e-9,1.0833275302896089e-5,Downregulated,AH,AG
gene23693|CSRP1,-1.2444412106816776,7.541241139155178,62.19296848026823,8.775626362238436e-9,1.1327139727059262e-5,Downregulated,AH,AG
gene25966|DUSP18,-1.819052944694741,3.8386536248933223,60.077854876577696,1.2477478769620846e-8,1.4866436050973639e-5,Downregulated,AH,AG
gene16648|ITGB3,-1.9645269094434579,4.569185683664833,59.20231291063542,1.4470249461535106e-8,1.600926385069409e-5,Downregulated,AH,AG
gene12217|TDRD7,-1.6753481699481019,3.507580810055853,58.727867735121876,1.568977838123077e-8,1.6201265156458892e-5,Downregulated,AH,AG
gene1280|DYNC1I1,-1.9623065237904602,2.168291526103983,56.78054499542549,2.197328816742083e-8,2.1271516276573826e-5,Downregulated,AH,AG
gene8662|RDH16,2.2814497581413127,4.724709835821099,55.97505006477141,2.5742624322557707e-8,2.345455930188802e-5,Upregulated,AH,AG
