gene,logFC,logCPM,F,PValue,FDR,direction,treat1,treat2
gene18847|HSPB1,1.7118710812720834,5.873044329442279,92.81997007671674,1.1483262693934558e-10,9.479387921842785e-7,Upregulated,AA,AH
gene10944|FAM89A,-1.77157163866993,4.912780065778509,92.30125814703287,1.2240154847753612e-10,9.479387921842785e-7,Downregulated,AA,AH
gene9036|CISH,2.4748542862914555,2.2447433434097857,85.68224716125897,2.833943295961418e-10,1.46316492370488e-6,Upregulated,AA,AH
gene8273|CHST11,2.1378711557909886,2.366911835605521,82.96136416919408,4.0593260516309214e-10,1.5718725303427835e-6,Upregulated,AA,AH
gene24273|RBP4,-1.4853012692647285,6.002957715937659,73.97003344335488,1.421637296186103e-9,4.210447102178912e-6,Downregulated,AA,AH
gene27056|LOC113246261,1.6047674096898363,4.726466428032799,73.02980857351557,1.6310079807007213e-9,4.210447102178912e-6,Upregulated,AA,AH
gene21072|LTBP2,3.1505819741156857,2.6785893699302523,70.30876645455038,2.4451954921972553e-9,5.410518996949041e-6,Upregulated,AA,AH
gene1993|RRM2,1.4071226950566476,4.993650754032248,68.36402988595945,3.2885620638553178e-9,6.367067225881877e-6,Upregulated,AA,AH
gene19847|LOC113268978,3.4420097447854476,2.63590038011392,67.00663183197472,4.140508801137427e-9,7.125815646757512e-6,Upregulated,AA,AH
gene25966|DUSP18,1.9045688431690988,3.8386536248933223,65.834959810417,4.878723653528394e-9,7.55665506695013e-6,Upregulated,AA,AH
gene30693|ND3,1.2887462605349873,7.090655440995767,62.695003993927834,8.082121989526615e-9,1.1380362499616156e-5,Upregulated,AA,AH
gene6358|OXNAD1,-1.7255360740638785,5.5680736770568755,61.13503598722519,1.0453840320281659e-8,1.3493294393403551e-5,Downregulated,AA,AH
gene8354|AMDHD1,-2.540113664121259,2.135388045156084,59.481993398123464,1.3799090573959362e-8,1.6441085684619736e-5,Downregulated,AA,AH
gene21323|GPR153,1.7684921617187743,3.91515257073732,57.32741381029303,1.997461656650855e-8,2.105481915263359e-5,Upregulated,AA,AH
